"VP_Code","arousal_rating","trials_word.thisIndex","word","code","group","valence_rating","arousal","time"
"BR11ST",4,26,"Faube","neu","Control",0,0,"pre"
"BR11ST",2,4,"Herklögen","emo","Control",-2,2,"pre"
"BR11ST",4,18,"Skibt","neu","Control",0,0,"pre"
"BR11ST",5,19,"Namistell","neu","Control",1,1,"pre"
"BR11ST",6,9,"Rugliebast","emo","Control",2,2,"pre"
"BR11ST",3,23,"Iberletsch","neu","Control",-1,1,"pre"
"BR11ST",4,10,"Wumeizauch","emo","Control",0,0,"pre"
"BR11ST",5,5,"Preier","emo","Control",1,1,"pre"
"BR11ST",2,1,"Neif","emo","Control",-2,2,"pre"
"BR11ST",3,28,"Bisknirgo","emo","Control",-1,1,"pre"
"BR11ST",2,22,"Bingsemöl","neu","Control",-2,2,"pre"
"BR11ST",4,27,"Wunicher","emo","Control",0,0,"pre"
"BR11ST",6,3,"Zwelde","emo","Control",2,2,"pre"
"BR11ST",4,15,"Mege","emo","Control",0,0,"pre"
